,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
The positive effects of the Olympics outweigh the negative effects,1234,148,408,268,304,106,601,634,385,449,400,630,604
,61%,58%,63%,62%,61%,60%,62%,61%,68%,62%,56%,62%,61%
I am glad my country is hosting the Olympic game,1233,161,402,266,313,92,608,625,396,447,390,622,611
,61%,63%,62%,62%,63%,52%,62%,60%,70%,62%,54%,61%,62%
I will only be satisfied with the Olympic games if it does not cost the country money more than it makes,1619,201,518,361,399,140,752,867,441,582,596,825,795
,81%,79%,80%,84%,81%,79%,77%,84%,78%,80%,83%,80%,81%
Hosting the Olympic games is something for my country to be proud of,1510,189,487,328,383,123,710,800,460,538,512,770,741
,75%,74%,75%,76%,77%,69%,73%,77%,81%,74%,71%,75%,75%
